message_id,message,correct_category
1,The department meeting is scheduled for 2 PM in Room 301.,Safe
2,Your account will be suspended. Click here and verify your password urgently.,Phishing
3,The attached executable file contains a trojan and may infect the computer.,Malware
4,Your files have been encrypted. Pay bitcoin to restore files.,Ransomware
5,Library books must be returned before Friday.,Safe
6,Congratulations! You won a prize. Login now to claim it.,Phishing
7,Antivirus detected spyware in the downloaded attachment.,Malware
8,Locked files will be released only after ransom payment.,Ransomware
9,Your monthly attendance report is available on the official portal.,Safe
10,Urgent bank alert: verify account and share OTP immediately.,Phishing
11,A virus was found in the unknown email attachment.,Malware
12,All documents are encrypted and a payment demand is displayed.,Ransomware
13,The examination timetable has been uploaded by the university.,Safe
14,Click here to reset your password because unusual activity was detected.,Phishing
15,The system is infected with malware after running an unknown program.,Malware
16,A ransom note asks for payment to unlock the database.,Ransomware
17,Please submit the assignment through the official learning portal.,Safe
18,Verify your email account now or it will be blocked.,Phishing
19,Security software detected a suspicious trojan executable.,Malware
20,The attacker encrypted shared files and requested bitcoin.,Ransomware
21,The sports committee meeting will be held tomorrow morning.,Safe
22,Your package is waiting. Click here and enter bank details.,Phishing
23,A malicious attachment installed spyware on the test machine.,Malware
24,Files are locked and cannot be opened until payment is made.,Ransomware
25,The faculty development programme starts next Monday.,Safe
26,Password expiry notice: login using this link to keep your account active.,Phishing
27,The antivirus quarantined an infected executable file.,Malware
28,A payment demand appeared after all project files were encrypted.,Ransomware
